company,m_a_between_1_1_15_12_31_20,type_of_server,nature_of_breach,vertical,mega_breach,details_on_record_number,raw_record_number,company_founded_before_year_2010,year_company_was_founded,date_breach_occurred,date_breach_was_reported,link,source,location,location_2
pray.com,NA,AWS,"vpnMentor analysts found several open, publicly accessible cloud databases (Amazon Web Services S3 buckets)",app,NA,"photos uploaded by the app’s users, names, home and email addresses, phone numbers, marital status, login information along with users’ phone contacts names, phone numbers, email, home and business addresses, company names and family ties",10 million users,no,2016,nov.,nov.,https://threatpost.com/10m-impacted-pray-com-data-exposure/161459/,threatpost,NA,NA
NetGallery,NA,unknown,unauthorized and unlawful access to a backup file of the NetGalley database,media,NA,"users’ profile information, including login name and password, first and last name, email address, and country, mailing addresses, phone numbers, dates of birth, company names, and Kindle email addresses",unknown,yes,2008,dec.,dec.,https://portswigger.net/daily-swig/netgalley-data-breach-publishing-industry-website-forces-password-reset-following-security-incident,portswigger,NA,NA
hospitals and medical centers,NA,NAS,Millions of images were unencrypted and could be accessed without password protection,healthcare,NA,"x-rays, MRI and CT scans",more than 45 million,n/a,n/a,dec.,dec.,https://portswigger.net/daily-swig/healthcare-security-woes-more-than-45-million-medical-images-openly-accessible-online,portswigger,NA,NA
Headlam Group,NA,unknown,unauthorized user gained access to data,labor,NA,unknown,unknown,yes,1992,nov,nov.,https://portswigger.net/daily-swig/data-breach-at-uk-flooring-firm-headlam-group-after-company-suffers-cyber-attack,portswigger,UK,NA
Chespeake Reginoal Healthcare,NA,unknown,The incident occurred due to a security incident affecting donor and fundraising software vendor Blackbaud.,healthcare,NA,"names, mail addresses, email addresses, and demographics, such as donation dates and amounts","23,000 individuals",yes,1966,nov,nov.,https://portswigger.net/daily-swig/chesapeake-regional-healthcare-data-breach-exposes-23-000-individuals-sensitive-information,portswigger,NA,NA
Made in Oregon,NA,unknown,an unauthorized third party accessed information in an attack dating from February to August this year,retail,NA,"names, billing addresses, email addresses, and credit card details",unknown,yes,1975,feb/,oct.,https://portswigger.net/daily-swig/us-retailer-made-in-oregon-confirms-website-data-breach,portswigger,NA,NA
Magnolia Pediatric,NA,unknown,any individual who had the ability to encrypt the MBR had access to the entire server,healthcare,NA,NA,NA,yes,2003,oct,oct.,https://www.databreaches.net/magnolia-pediatrics-notifies-patients-of-a-security-incident-after-ocr-tells-them-its-reportable/,data breaches,NA,NA
0x00sec,NA,unknown,"did not separate buckets for uploads and backups. Instead, we used ACLs to allow public access to the entire bucket to store user uploads with the exception of a subfolder that blocks public access which we used for backups.",hacking,NA,"plaintext usernames, email addresses, direct messages, profile data and salted PBKDF2 password hashes",NA,NA,NA,oct,oct.,https://0x00sec.org/t/0x00sec-security-incident-notification-september-30th-2020/23355,0x00,NA,NA
Dr Lal PathLabs,NA,AWS,unsecured storage bucket,healthcare,NA,"patient’s name, address, gender, date of birth and cell number, as well as details of the test that the patient is taking, which could indicate or infer a medical diagnosis or a health condition",2 million records,yes,1949,oct,oct.,https://techcrunch.com/2020/10/08/dr-lal-pathlabs-exposed-patient-lab-data/,tech crunch,NA,NA
HomeWAV,NA,unknown,left a dashboard for one of its databases exposed to the internet without a password,communications,NA,call logs between inmates and attorneys/familys/friends,NA,no,2012,oct,oct.,https://techcrunch.com/2020/10/10/prison-visitation-homewav-leak/,tech crunch,NA,NA
TRUE,NA,unknown,left a server exposed,app,NA,"user’s registered email address or phone number, the contents of private posts and messages between users, and the user’s last known geolocation, which could identify where a user was or had been","500,000",no,2013,oct,oct.,https://techcrunch.com/2020/10/28/true-social-app-privacy-exposed-data/,tech crunch,NA,NA
Sophos,NA,unknown,misconfigured database,technology,NA,"customer first and last names, email addresses, and phone number",NA,no,1985,nov,nov.,https://www.zdnet.com/article/sophos-notifies-customers-of-data-exposure-after-database-misconfiguration/?&web_view=true,zdnet,NA,NA
GrowDiaries,NA,Elasticsearch,the company left two Kibana apps exposed on the internet without administrative passwords,marijuana,NA,"usernames, email addresses, and IP addresses, while the second database also exposed user articles posted on the GrowDiaries site and users' account passwords",3.4 million,NA,NA,nov,nov.,https://www.zdnet.com/article/configuration-snafu-exposes-passwords-for-two-million-marijuana-growers/,zdnet,NA,NA
Deloitte,NA,unknown,"YAML configuration file publicly accessible. And within the file, in cleartext, is the username and password for the site's mySQL database.",business,NA,passwords,NA,yes,1845,nov,nov.,https://www.theregister.com/2020/11/05/deloitte_hacker_test/,the register,NA,NA
Animal Jam,NA,AWS,threat actors obtained WildWork's AWS key after compromising the company's Slack server,game,NA,"usernames, passwords, emails, parent names, IP addresses",46 million,no,2010,nov,nov.,https://www.bleepingcomputer.com/news/security/animal-jam-kids-virtual-world-hit-by-data-breach-impacts-46m-accounts/,bleeping computer,NA,NA
COVID-KAYA,NA,unknown,web and Android apps allowed for unauthorized users to access private data about the platform’s users and potentially patient data,app,NA,covid data,NA,no,2020,nov,nov.,https://threatpost.com/covid-19-data-leaked-healthcare-worker-info/161108/,threatpost,NA,NA
Cloud Custers Inc,NA,cloud custers?,non-password protected database,technology,NA,"user/password credentials for Magento, WordPress accounts, and MySql",63 million,no,2017,nov,nov.,https://securethoughts.com/hosting-provider-exposed-63-million-customer-records/,secure thoughts,NA,NA
TronicaXchange,NA,AWS,wide open S3 bucket,retail,NA,"license number, full name, birthdate, home address, gender, hair and eye color, height and weight, and a photo of the individual",2.6 million,NA,NA,nov,nov.,https://www.infosecurity-magazine.com/news/80000-id-cards-fingerprint-exposed/,info security mag,NA,NA
Albert Einstein Hospital,NA,unknown,"hospital employee uploaded a spreadsheet with usernames, passwords, and access keys to sensitive government systems",healthcare,NA,"patient names, addresses, ID information",16 million,yes,1864,nov,nov.,https://www.zdnet.com/article/personal-data-of-16-million-brazilian-covid-19-patients-exposed-online/,zdnet,NA,NA
Probase,NA,Azure,"No security controls were in place on the Azure blob, meaning it was entirely public-facing, and anyone with the address of the files stored in it could view them without authentication – so they didn't need to log in or pass any kind of security check.",app,NA,"backed-up emails to letters, spreadsheets, screenshots, and more","500,000",NA,NA,dec.,dec.,https://www.theregister.com/2020/12/18/probase_unsecured_azure_blob/,the register,NA,NA
NOW: Pensions,NA,unknown,"a service provider ""unintentionally"" posted user data to an unnamed ""public software forum""",finance,NA,"biographical data (names, email addresses, and dates of birth) as well as National Insurance numbers",NA,no,2011,dec.,dec.,https://www.theregister.com/2020/12/22/data_breach_now_pensions/,the register,NA,NA
A Cayman Island Investment Fund,NA,Azure,ailing to properly configure a secure Microsoft Azure blob,finance,NA,"who its shareholders are, how many shares they hold, and the value of those holdings",NA,NA,NA,dec.,dec.,https://www.theregister.com/2020/12/01/investment_fund_data_breach/,the register,NA,NA
Apodis Pharma,NA,Elasticsearch,misconfigured database,pharmaceutical,NA,"shipment data, shipment storage status, the precise times and locations of where the shipments have been picked up by sellers or distributors, as well as the quantity of pharmaceuticals in the shipments, archive of 25,000+ partner and client organizations, product sales data, morfe","67,845,860",yes,2006,dec.,dec.,https://www.technadu.com/apodis-pharma-leaked-1-7-tb-confidential-data-online/228431/,technadu,NA,NA
21 Buttolns,NA,AWS,AWS S3 bucket wide open with no encryption or password protection,social networking,NA,influencer photos and videos,50 million,no,2015,nov,dec.,https://www.infosecurity-magazine.com/news/misconfigured-bucket-exposes/,info security mag,NA,NA
